text,Joy,Trust,Anticipation,Surprise,Fear,Sadness,Disgust,Anger,Positive,Negative,Neutral
2 gwiazdki.,False,False,False,True,False,True,False,True,False,True,False
Na tyle maksymalnie zasługuje ten hotel.,False,False,False,False,False,True,True,True,False,True,False
"To, ze hotel ma 4 gwiazdki w nazwie jest żałosne.",False,False,False,False,False,False,True,True,False,True,False
"Śmiesznie było już podczas rezerwacji, pani z recepcji nie bardzo potrafiła odpowiedzieć na najprostsze pytania.",False,False,False,False,False,True,True,True,False,True,False
"Udało mi się jednak dowiedzieć, ze w hotelu są pokoje w 3 standardach: zwykły za 160 złotych z maleńkim kineskopowym telewizorem, podwyższony za 220 z 20 calowym telewizorem LCD i butelka wody mineralnej z Lidla oraz ‘apartament’ za 340zl, który jest trochę większy.",True,False,False,False,False,False,False,True,False,True,True
W cenie śniadanie i obiadokolacja.,True,False,False,False,False,False,False,False,True,False,True
Zamówiłem podwyższony i w drogę.,True,False,False,False,False,False,False,False,True,False,True
Pierwsze zdziwienie na dojeździe – do hotelu dojeżdża się polna droga… Później recepcja.,False,False,False,True,False,True,False,False,False,True,False
Po 20 minutach czekania w kolejce moja kolej.,True,False,False,False,False,False,False,True,True,True,True
"Pani pyta, czy jestem pierwszy raz, prosi o płatność z góry (goście im uciekają?), a następnie wydaje klucz.",False,False,False,False,False,False,False,True,False,True,False
Kolejne wrażenie – ciemność.,False,False,False,True,True,False,False,False,False,True,False
Na korytarzach zapalona co 5 żarówka.,False,False,False,True,False,True,False,True,False,True,False
W windzie potłuczone szyby.,False,False,False,True,False,True,False,False,False,True,False
Docieram do pokoju a tam rzecz jasna brak wody do picia i telewizor z ekranem wielkości mojego tabletu.,False,False,True,False,False,True,False,True,False,True,False
"To nie jest miejsce dla ludzi z klaustrofobia, cały pokój ma z 9 metrów kwadratowych, a stały tam dwa maleńkie lóżka, szafa i biurko.",False,False,False,False,True,False,True,False,False,True,False
"Czyli dostałem najtańszy pokój, mimo ze zapłaciłem za podwyższony… Powrót do recepcji i wyjaśnianie sprawy.",False,False,False,True,False,True,False,True,False,True,False
"Nie wiem czy to była pomyłka, czy szukanie jelenia, bo okazało się, ze na rezerwacji pani miała wyraźnie napisany jaki mi dać pokój, ale dala inny z własnej inicjatywy.",False,False,False,False,False,False,False,True,False,True,False
Dostałem wiec nowy klucz i znów wędrówka ciemnymi korytarzami.,False,False,False,False,False,True,True,True,False,True,False
"Niestety pokoju nie ma, pani skierowała mnie do złego skrzydła hotelu (sa cale dwa…).",False,False,False,False,False,True,False,True,False,True,False
Wiec znów powrót do recepcji i od początku szukanie.,False,False,False,False,False,False,True,True,False,True,False
I tak po pól godzinie od przyjazdu udaje mi się wejść do pokoju….,True,False,False,False,False,False,False,True,False,True,False
"Woda jest, telewizor ma ze 20 cali, wiec chyba trafiłem dobrze.",True,False,False,False,False,False,False,False,True,False,False
"Na stole regulamin z informacja, ze ręczniki wymienia się co 3 dni, ale lokator musi o to poprosić.",False,False,False,True,False,False,False,False,False,True,True
"W pokoju sterownik do klimatyzacji, ale oczywiście klima nie działa.",False,False,True,False,False,True,False,True,False,True,False
4 gwiazdki?,False,False,False,True,False,False,True,True,False,True,False
Serio?,False,False,False,True,False,True,False,True,False,True,False
"Pokój odrobine większy, pewnie ma z 12 metrów, za to są skosy… Ale w końcu nie będę tu siedzieć.",True,False,False,False,False,True,False,False,True,True,False
Schodzę na obiadokolacje.,False,False,False,False,False,False,False,False,False,False,True
Restauracja tak samo ciemna jak korytarze.,False,False,False,False,False,True,True,False,False,True,False
"Właściciele albo oszczędzają prąd, albo liczą, ze w półmroku nie będzie widać brudu.",False,False,False,False,False,False,True,True,False,True,False
"Do wyboru jest pomidorowa, sałatka, ryba i schabowy.",False,False,False,False,False,False,False,False,False,False,True
"Ryba i schabowy nie są w panierce, tylko w jakiejś rozmoczonej mazi (kaszka?).",False,False,False,False,False,False,True,False,False,True,False
Na szczęście to cos daje się łatwo zeskrobać nożem.,True,False,False,False,False,False,True,False,True,True,False
Jedno i drugie nieprzyprawione i bez smaku.,False,False,False,False,False,True,True,False,False,True,False
Za to sałatka słodka jak pączek.,False,False,False,False,False,True,True,False,False,True,False
"Nie da się tego jeść, odkładam jedzenie i staram się czytać gazetę (w recepcji jest Rzeczpospolita), niestety jest za ciemno.",False,False,False,False,False,True,True,True,False,True,False
Wracam wiec do pokoju.,False,False,False,False,False,False,False,False,False,False,True
I zaczyna się jazda… Pokoje i łazienki połączone są rurami wentylacji.,False,False,False,False,False,False,True,True,False,True,False
"Całość jest tak akustyczna, ze miałem okazje wysłuchać nocnych rozmów Polaków przy wódce, odgłosów rzygania, sikania i paru innych.",False,False,False,False,False,False,True,True,False,True,False
"Wszystko tak głośno, jakbym był w klatce z stadem pawianów.",False,False,False,False,False,False,True,True,False,True,False
"Dzwonie na recepcje, czy nie mógłbym wymienić pokoju.",False,False,False,False,False,False,False,False,True,False,True
"Oczywiście nie, bo inne sa nieprzygotowane i nie ma kto tego zrobić… Rano wyjeżdżam z ulga… Może gdybym wiedział od początku, ze ten hotel to 2 gwiazdkowy hostel, to bym przyjechał z innym nastawieniem.",False,False,True,True,False,True,False,True,False,True,False
"Niestety, nazwa zapowiada standard, o który ten hotel się nie ociera.",False,False,False,True,False,True,False,False,False,True,False
Szukasz taniego noclegu?,False,False,False,False,False,False,False,False,False,True,True
Ok.,False,False,False,False,False,False,False,False,False,False,True
Chcesz przyzwoitych warunków?,False,False,False,False,False,False,False,False,False,True,True
Omijaj ten hotel szerokim łukiem!,False,False,False,False,False,False,True,True,False,True,False
###########################,False,False,False,True,False,True,True,True,False,True,False
"RADPOL S.A. z siedzibą w Człuchowie (""Spółka"" lub ""Emitent"") informuje, że wykonując Uchwałę nr 4 Nadzwyczajnego Walnego Zgromadzenia Akcjonariuszy RADPOL Spółka Akcyjna z siedzibą w Człuchowie z dnia 19 sierpnia 2011 roku w sprawie upoważnienia do nabywania akcji własnych Spółki, uchwalenia Programu Skupu Akcji Własnych Spółki, oraz dokonania zmian w kapitałach własnych Spółki oraz w sprawie użycia kapitału zapasowego i rezerwowego oraz realizując program skupu akcji własnych (RB nr 28/2011), TRIGON Dom Maklerski S.A.",False,False,False,False,False,False,False,False,False,False,True
